"","pcktsCount","pcktsLost","dteTime"
"1",986.58,6.12,2017-01-08 00:00:00
"2",984.47,7.09,2017-01-08 01:00:00
"3",984.64,6.62,2017-01-08 02:00:00
"4",997.94,6.2,2017-01-08 03:00:00
"5",987.24,5.38,2017-01-08 04:00:00
"6",976.99,5.71,2017-01-08 05:00:00
"7",978.02,6.19,2017-01-08 06:00:00
"8",994.43,5.38,2017-01-08 07:00:00
"9",992.18,5.52,2017-01-08 08:00:00
"10",990.59,4.53,2017-01-08 09:00:00
"11",993.97,4.44,2017-01-08 10:00:00
"12",997.14,5.42,2017-01-08 11:00:00
"13",977.35,8.06,2017-01-08 12:00:00
"14",982.51,9.5,2017-01-08 13:00:00
"15",989.12,8.56,2017-01-08 14:00:00
"16",995.19,10.01,2017-01-08 15:00:00
"17",986.45,9.23,2017-01-08 16:00:00
"18",989.75,6.39,2017-01-08 17:00:00
"19",963.67,7.97,2017-01-08 18:00:00
"20",962.48,8.76,2017-01-08 19:00:00
"21",971.37,9.42,2017-01-08 20:00:00
"22",973.87,6.31,2017-01-08 21:00:00
"23",971.68,7.77,2017-01-08 22:00:00
"24",971.91,6.81,2017-01-08 23:00:00
"25",965.02,7.81,2017-01-09 00:00:00
"26",1123.42,9.02,2017-01-09 01:00:00
"27",1076.35,8.75,2017-01-09 02:00:00
"28",911.95,5.46,2017-01-09 03:00:00
"29",874.35,7.31,2017-01-09 04:00:00
"30",1018.56,7.59,2017-01-09 05:00:00
"31",823.38,8.86,2017-01-09 06:00:00
"32",911.75,4.66,2017-01-09 07:00:00
"33",1038.93,5.94,2017-01-09 08:00:00
"34",1022.86,6.14,2017-01-09 09:00:00
"35",1176.98,6.52,2017-01-09 10:00:00
"36",899.79,4.95,2017-01-09 11:00:00
"37",884.63,9.52,2017-01-09 12:00:00
"38",1134.72,6.95,2017-01-09 13:00:00
"39",996.42,9.69,2017-01-09 14:00:00
"40",1012.78,14.37,2017-01-09 15:00:00
"41",850.54,12.91,2017-01-09 16:00:00
"42",1062.47,7.2,2017-01-09 17:00:00
"43",1015.31,11.12,2017-01-09 18:00:00
